step,entropy,expected_J,optimality_gap,infeasible_mass
0,7.842986506944701,0.4461847025539173,0.4461847025539173,0.44924459864136534
1,7.36605051060891,0.4018839078485646,0.4018839078485646,0.09898211527406003
2,7.19936951576912,0.38128282622856036,0.38128282622856036,0.015822780991924613
3,7.2267820918313745,0.3640053441967788,0.3640053441967788,0.0023698496328157033
4,7.294456183624731,0.3460546758821495,0.3460546758821495,0.00029568608011721167
5,7.358490261111575,0.32707538729778335,0.32707538729778335,2.8499254808646174e-05
6,7.4070481428764525,0.30732093209240885,0.30732093209240885,4.4854576680986106e-06
7,7.4370861451632155,0.28720983579995457,0.28720983579995457,8.943718248359037e-07
8,7.448652629410306,0.2672049946309453,0.2672049946309453,3.8369752822422567e-07
9,7.443258287144954,0.24774737310253558,0.24774737310253558,3.521735110208391e-07
10,7.4234326647542925,0.22920504702812008,0.22920504702812008,4.059611409261959e-07
11,7.392225824463734,0.21184182259666456,0.21184182259666456,4.867674977846878e-07
12,7.3527241955359495,0.19580919130546037,0.19580919130546037,5.877141253051688e-07
13,7.307683981601992,0.18115786774333054,0.18115786774333054,7.096766035706588e-07
14,7.25932903508435,0.16786074981305985,0.16786074981305985,8.54469075934651e-07
15,7.209299507134028,0.15583895516011442,0.15583895516011442,1.0237482141791579e-06
16,7.158704133275168,0.1449850809744795,0.1449850809744795,1.2188292683646665e-06
17,7.108224168466083,0.13518093185414892,0.13518093185414892,1.4406596484894938e-06
18,7.058228910276762,0.12630934350259698,0.12630934350259698,1.6898262754285125e-06
19,7.008879179227163,0.11826103255280483,0.11826103255280483,1.966573689613943e-06
20,6.960208859237397,0.11093783078790889,0.11093783078790889,2.270827371687265e-06
21,6.912183380442101,0.1042535821169513,0.1042535821169513,2.6022203852476826e-06
22,6.864738396243479,0.0981336952804844,0.0981336952804844,2.960122389952066e-06
23,6.81780332524224,0.0925140340252648,0.0925140340252648,3.3436702955431715e-06
24,6.771314256842385,0.0873395685433916,0.0873395685433916,3.751799837183138e-06
25,6.725219891727653,0.08256302670939891,0.08256302670939891,4.1832773313568654e-06
26,6.679483231255138,0.07814366307768304,0.07814366307768304,4.636730887358688e-06
27,6.634080884488114,0.07404619138076626,0.07404619138076626,5.110680415846943e-06
28,6.5890012051499145,0.07023988657594335,0.07023988657594335,5.603565882771969e-06
29,6.544242000344836,0.06669784303400675,0.06669784303400675,6.113773386197733e-06
30,6.499808235019766,0.06339636775233969,0.06339636775233969,6.639658768016442e-06
31,6.455709951714573,0.060314486075178635,0.060314486075178635,7.1795685993450244e-06
32,6.4119604998341115,0.05743353905751164,0.05743353905751164,7.73185848931859e-06
33,6.368575095933224,0.05473685447458318,0.05473685447458318,8.294908758023909e-06
34,6.3255696973090165,0.05220947658585946,0.05220947658585946,8.86713758449726e-06
35,6.282960152577735,0.04983794264790522,0.04983794264790522,9.447011791143997e-06
36,6.240761586384384,0.04761009665300493,0.04761009665300493,1.0033055458906017e-05
37,6.198987975572068,0.045514932813011964,0.045514932813011964,1.0623856585836888e-05
38,6.157651877724164,0.043542462942601945,0.043542462942601945,1.1218072008380492e-05
39,6.1167642780299,0.04168360318104321,0.04168360318104321,1.181443080236029e-05
40,6.076334525803923,0.039930076490042245,0.039930076490042245,1.2411736371930112e-05
41,6.036370337122282,0.03827432813563917,0.03827432813563917,1.3008867421590675e-05
42,5.99687784463997,0.03670945195443728,0.03670945195443728,1.360477799052443e-05
43,5.957861679626944,0.035229125659371016,0.035229125659371016,1.4198496711264954e-05
44,5.919325074596759,0.033827553790025146,0.033827553790025146,1.4789125437091026e-05
45,5.881269977650138,0.032499417182308234,0.032499417182308234,1.5375837365238663e-05
46,5.843697171883371,0.03123982804132087,0.03123982804132087,1.595787476655354e-05
