final_expected_J,final_optimality_gap,final_regret,final_entropy,final_infeasible_mass,mean_stability_tv,max_stability_tv,run_id,diffusion,drift_scale,lambda_shape,projection_strength
0.032297983446611916,0.032297983446611916,0.021790336316900093,5.674291138567474,0.00030240071556977095,0.02775993879071592,0.1852965023669172,1,0.00018,0.1,0.9,0.65
0.03216818152172733,0.03216818152172733,0.021614395333856295,5.6729827296313164,0.0001256715908800279,0.02806387527729071,0.2453614956424075,2,0.00018,0.1,0.9,0.85
0.00833241570643962,0.00833241570643962,0.009521919945892458,4.204086730409833,0.0001731994395207804,0.03405579877512375,0.1965527880418571,3,0.00018,0.1,1.7,0.65
0.008258282303962859,0.008258282303962859,0.009422590499063504,4.203090968529038,7.380463255141835e-05,0.03441222707590311,0.2508218097366666,4,0.00018,0.1,1.7,0.85
0.002716247457959878,0.002716247457959878,0.005619118768597435,3.169045478028833,3.69730686335247e-05,0.03807495889859706,0.2069056153787273,5,0.00018,0.1,2.6,0.65
0.002703586126428012,0.002703586126428012,0.005598264380224557,3.1695017019697147,1.5826460735099345e-05,0.038402001068314484,0.25572076858646725,6,0.00018,0.1,2.6,0.85
0.026647590241016445,0.026647590241016445,0.016425159819218473,5.476929327802656,0.0006738331443632023,0.028786580215112472,0.18577828553228937,7,0.00018,0.18,0.9,0.65
0.026359508908082377,0.026359508908082377,0.016031877166232476,5.474353914740993,0.0002796158605453758,0.02909625841733554,0.24559673959081377,8,0.00018,0.18,0.9,0.85
0.005867863901768002,0.005867863901768002,0.007080370085887373,3.7069246677386958,0.0003259563145370859,0.035437438595696015,0.19699111016310747,9,0.00018,0.18,1.7,0.65
0.005729267695962461,0.005729267695962461,0.006893235786715961,3.705433734440633,0.00013886683895514176,0.03579335677332152,0.25103292938288013,10,0.00018,0.18,1.7,0.85
0.002385539796460552,0.002385539796460552,0.00451148493685808,3.150200389889301,5.843682406215901e-05,0.038151304275973914,0.20734859302588116,11,0.00018,0.18,2.6,0.65
0.0023671107568925764,0.0023671107568925764,0.004478602879311667,3.151231386226181,2.5010940503510337e-05,0.03848172897287539,0.25591241532304904,12,0.00018,0.18,2.6,0.85
