diffusion,drift_scale,lambda_shape,projection_strength,use_llm,final_expected_J,final_feasibility,final_entropy,mean_stability_tv,final_optimality_gap,is_pareto
0.00042,0.16,0.0,0.55,True,0.40504789231981253,0.9999980380710611,6.836075134578805,0.007303178130699785,0.40504789231981253,True
0.00042,0.16,0.0,0.85,True,0.40492842822807495,0.9999995720083202,6.834904819072422,0.007421306808612821,0.40492842822807495,True
0.00042,0.16,1.0,0.0,True,0.03097602744019056,0.9986574650632024,5.651010922523441,0.029636893147986537,0.03097602744019056,True
0.00042,0.16,1.0,0.55,True,0.030398685965883798,0.999440032402094,5.645972041543876,0.031317539614806905,0.030398685965883798,True
0.00042,0.16,1.0,0.85,True,0.03012273309024419,0.9998204456207573,5.643664192021495,0.03186530629988423,0.03012273309024419,True
0.00042,0.16,2.4,0.0,True,0.004243599009345709,0.99974150289346,3.4846375588976146,0.039847807773347635,0.004243599009345709,True
0.00042,0.16,2.4,0.55,True,0.004137645037776029,0.9998841173439803,3.483421691799795,0.04084460796930924,0.004137645037776029,True
0.00042,0.16,2.4,0.85,True,0.004082035966327485,0.9999614607202402,3.4825811467409022,0.04142062577604728,0.004082035966327485,True
0.00042,0.24,0.0,0.0,False,0.40394385962719237,0.8967199196062136,7.278137956133636,0.0043197750475846165,0.40394385962719237,True
0.00042,0.24,0.0,0.55,True,0.3737352844478725,0.9999939489988077,6.84428590146991,0.008977100989253084,0.3737352844478725,True
0.00042,0.24,0.0,0.85,True,0.37351492142492493,0.9999986754083099,6.842363381838515,0.009128465599188642,0.37351492142492493,True
0.00042,0.24,1.0,0.0,True,0.02695530612852623,0.9976508872504402,5.502101120521155,0.030627053817538212,0.02695530612852623,True
0.00042,0.24,1.0,0.55,True,0.025945216123111004,0.9990204180183732,5.493943624334548,0.032314837731679105,0.025945216123111004,True
0.00042,0.24,1.0,0.85,True,0.02545816471909339,0.9996860226926471,5.489982007785879,0.03286884329122177,0.02545816471909339,True
0.00042,0.24,1.7,0.0,True,0.008731693493034405,0.9987517290920558,4.035481585585187,0.03728597828732927,0.008731693493034405,True
0.00042,0.32,0.0,0.0,False,0.374752701800082,0.9350739587163936,7.27453574825258,0.005717550818922922,0.374752701800082,True
0.00042,0.32,0.0,0.55,True,0.3391099520190913,0.9999833017391798,6.846570626152526,0.0106787734109474,0.3391099520190913,True
0.00042,0.32,0.0,0.85,True,0.3387742816601625,0.9999963304409777,6.844006098104973,0.010863114189177573,0.3387742816601625,True
0.00042,0.32,1.0,0.0,True,0.024206869989504137,0.9963301360023306,5.321620046867959,0.031779390753176706,0.024206869989504137,True
0.00042,0.32,1.7,0.0,True,0.008226716658136554,0.9983853261341266,3.8832068699510023,0.03811651129713718,0.008226716658136554,True
0.00042,0.32,1.7,0.85,True,0.007203078301396216,0.9997640592584242,3.873570494426269,0.04001654790433749,0.007203078301396216,True
0.0008,0.08,0.0,0.0,False,0.4526092028181642,0.7745268267685286,7.297459258272726,0.0016429047405633502,0.4526092028181642,True
0.0008,0.08,0.0,0.55,True,0.42910401065644965,0.999900051456364,6.82331771769042,0.005864639355008692,0.42910401065644965,True
0.0008,0.08,0.0,0.85,True,0.42902586145068333,0.9999786017564842,6.8221274752955665,0.00595356291383066,0.42902586145068333,True
0.0008,0.08,1.0,0.0,True,0.03737023154099967,0.9992259898149013,5.8073903335939185,0.028467183608687628,0.03737023154099967,True
0.0008,0.08,1.0,0.55,True,0.03707138144166193,0.9996872912444289,5.804596562050488,0.0301577046682302,0.03707138144166193,True
0.0008,0.08,1.0,0.85,True,0.03693177359550787,0.9998999475400573,5.803532507667262,0.030705932453811462,0.03693177359550787,True
0.0008,0.08,1.7,0.0,True,0.015182317681098286,0.9995855878699629,4.848043477761335,0.03369993154643689,0.015182317681098286,True
0.0008,0.08,1.7,0.55,True,0.01501772205585059,0.9998167803792798,4.846889716614389,0.03500779291663797,0.01501772205585059,True
0.0008,0.08,1.7,0.85,True,0.014930391603728898,0.9999394869930892,4.846183236422098,0.035613733245964896,0.014930391603728898,True
0.0008,0.08,2.4,0.0,True,0.008631097111529798,0.9998612283581177,4.2802527952478755,0.036387537932030485,0.008631097111529798,True
0.0008,0.08,2.4,0.55,True,0.008575407506681931,0.9999377969516393,4.279757028130384,0.03739092160210038,0.008575407506681931,True
0.0008,0.08,2.4,0.85,True,0.008545216220642034,0.9999793095494381,4.279451361744906,0.03798828614168539,0.008545216220642034,True
0.0008,0.16,0.0,0.0,False,0.42948539220407095,0.841042723290521,7.298839481378192,0.0029470620846329,0.42948539220407095,True
0.0008,0.16,0.0,0.55,True,0.4027571293583875,0.9999951464290457,6.85973800112118,0.00740396583622156,0.4027571293583875,True
0.0008,0.16,0.0,0.85,True,0.4026240278936495,0.9999989537608843,6.858627113112275,0.007525310066025669,0.4026240278936495,True
0.0008,0.16,1.0,0.0,True,0.031819887738655114,0.9985926615627753,5.690861855783315,0.029513036608116838,0.031819887738655114,True
0.0008,0.16,1.0,0.55,True,0.03121794632054061,0.9994137108039919,5.685766922907113,0.03120407887776879,0.03121794632054061,True
0.0008,0.16,1.0,0.85,True,0.03092978414219737,0.9998120205202224,5.68346157203234,0.03175550743082519,0.03092978414219737,True
0.0008,0.16,1.7,0.0,True,0.01212423619147453,0.9992473502669155,4.67588025075525,0.03491305550607369,0.01212423619147453,True
0.0008,0.16,2.4,0.0,True,0.0059529292593148,0.9997443301236615,4.002615962029606,0.03822650987219056,0.0059529292593148,True
0.0008,0.16,2.4,0.55,True,0.005846671410996159,0.9998853434553513,4.00116228978155,0.039219358813874644,0.005846671410996159,True
0.0008,0.16,2.4,0.85,True,0.00578898338183085,0.9999618521741893,4.000298676295335,0.03981020880959085,0.00578898338183085,True
0.0008,0.24,0.0,0.0,False,0.4032170257594814,0.8935954512722744,7.2977542523644585,0.0043103855295131555,0.4032170257594814,True
0.0008,0.24,0.0,0.55,True,0.3714446074432517,0.9999924436473677,6.8674657297855,0.009067994741145693,0.3714446074432517,True
0.0008,0.24,0.0,0.85,True,0.37120700856043654,0.9999983412993031,6.865651873545483,0.009221086035984573,0.37120700856043654,True
0.0008,0.24,1.0,0.0,True,0.027632977110032632,0.9976077373028445,5.560416290037712,0.03049565079617157,0.027632977110032632,True
0.0008,0.24,1.0,0.55,True,0.026608849028698044,0.999002698412622,5.552603905979862,0.032194030437993605,0.026608849028698044,True
0.0008,0.24,1.0,0.85,True,0.02611581499580559,0.9996803422076387,5.54884487971873,0.032750516948481315,0.02611581499580559,True
0.0008,0.32,0.0,0.0,False,0.37414835011073005,0.9324781665016701,7.294241529762152,0.005698773824340049,0.37414835011073005,True
0.0008,0.32,0.0,0.55,True,0.33677050620896665,0.9999799604188869,6.866473884749311,0.01077200383271557,0.33677050620896665,True
0.0008,0.32,0.0,0.85,True,0.3364111779239146,0.9999955858148886,6.863928241600515,0.010960893452769354,0.3364111779239146,True
0.0008,0.32,1.0,0.0,True,0.02480311793614659,0.9962984748890901,5.418000960627817,0.031500498148808016,0.02480311793614659,True
0.0011,0.08,0.0,0.0,False,0.45204031069626993,0.7718307794168305,7.313195142351585,0.0016592373626096572,0.45204031069626993,True
0.0011,0.08,0.0,0.55,True,0.4272826067430291,0.9998252390629198,6.834043219214223,0.005965137703022471,0.4272826067430291,True
0.0011,0.08,0.0,0.85,True,0.4271790589987658,0.999962519006772,6.832352735578544,0.006059306049549419,0.4271790589987658,True
0.0011,0.08,1.0,0.0,True,0.0368106553094305,0.9990288146474056,5.800543843349685,0.028310778864850582,0.0368106553094305,True
0.0011,0.08,1.0,0.55,True,0.036514863427121284,0.9996108477463577,5.799072593027539,0.030012496933710997,0.036514863427121284,True
0.0011,0.08,1.0,0.85,True,0.036380434902462025,0.9998760283508638,5.7986685237401066,0.030566309798738856,0.036380434902462025,True
0.0011,0.08,1.7,0.0,True,0.015229541838939679,0.9995114624054287,4.851945660646546,0.03302196725952004,0.015229541838939679,True
0.0011,0.08,1.7,0.55,True,0.01504903636618023,0.9997843128585695,4.851533184118411,0.03433949386012478,0.01504903636618023,True
0.0011,0.08,1.7,0.85,True,0.014953539801518177,0.9999288131623341,4.851208259034017,0.03495075255880751,0.014953539801518177,True
