diffusion,drift_scale,use_llm,lambda_shape,projection_strength,final_entropy,final_infeasible_mass,final_optimality_gap,mean_tail_tv,max_probability,regime,kappa_drift_diffusion,kappa_llm_diffusion,projection_to_diffusion,normalized_entropy,normalized_gap
0.0001,0.06,True,1.7,0.85,4.145263942309951,4.400971051769135e-05,0.00775564204512867,0.011570816314411364,0.05116842266060138,oscillatory,599.999994,16999.99983,8499.999915,0.4878508396669861,0.007755642045131365
0.0001,0.1,True,1.7,0.85,3.639207207585058,8.367086580684822e-05,0.005416121088166254,0.014334053274137656,0.06633437528528814,oscillatory,999.9999900000001,16999.99983,8499.999915,0.4282936663746389,0.005416121088168136
0.0001,0.14,True,1.7,0.85,3.519627897722713,0.00011233813022364073,0.004511999861303545,0.010051570736246499,0.06752046689291454,oscillatory,1399.9999860000003,16999.99983,8499.999915,0.4142205295285843,0.004511999861305113
0.0001,0.18,True,1.7,0.85,3.520669051246476,0.00013869781743257027,0.004404545031054256,0.009211234600829407,0.06696867856096603,stable-convergent,1799.999982,16999.99983,8499.999915,0.4143430615622156,0.004404545031055787
0.0001,0.22,True,1.7,0.85,3.5381057608737727,0.0001648591255094952,0.004561602946213823,0.008994059426252135,0.0663872993225645,stable-convergent,2199.9999780000003,16999.99983,8499.999915,0.41639516573485513,0.004561602946215409
0.0001,0.26,True,1.7,0.85,3.5525770662560534,0.00019131785790418428,0.004878127723852866,0.009423873444566584,0.06595236040151396,stable-convergent,2599.9999740000003,16999.99983,8499.999915,0.4180982752545565,0.004878127723854561
0.0001,0.3,True,1.7,0.85,3.562520608917691,0.00021833932800181794,0.0053459900242921994,0.010061320189850377,0.06566176722110562,oscillatory,2999.9999700000003,16999.99983,8499.999915,0.41926851813999294,0.005345990024294057
0.0001,0.34,True,1.7,0.85,3.568009356862294,0.0002462931045045368,0.005966327530938103,0.010752381728420638,0.06549178206736979,oscillatory,3399.9999660000008,16999.99983,8499.999915,0.41991448190267744,0.005966327530940176
0.00025714285714285715,0.06,True,1.7,0.85,4.293489965138922,4.9653486247511785e-05,0.008804812774645506,0.009694309462615399,0.04422114285464651,stable-convergent,233.3333324259259,6611.111085401234,3305.555542700617,0.5052953717170527,0.008804812774648566
0.00025714285714285715,0.1,True,1.7,0.85,3.9711637031472575,8.920321854258325e-05,0.006426970293491818,0.01242268699733251,0.05829193066002216,oscillatory,388.8888873765432,6611.111085401234,3305.555542700617,0.46736120401439774,0.006426970293494052
0.00025714285714285715,0.14,True,1.7,0.85,3.6273581416316083,0.0001271410990705461,0.005054573000667526,0.012862122864605608,0.06533800868713978,oscillatory,544.4444423271606,6611.111085401234,3305.555542700617,0.42689916487724117,0.005054573000669282
0.00025714285714285715,0.18,True,1.7,0.85,3.5533124988522946,0.00015547652018809216,0.004604431586631331,0.010033315307010406,0.06587498031252,oscillatory,699.9999972777778,6611.111085401234,3305.555542700617,0.4181848273811733,0.0046044315866329314
0.00025714285714285715,0.22,True,1.7,0.85,3.5573332529316097,0.00018210343400839357,0.004687203214451207,0.009412668272502716,0.06551069215938951,stable-convergent,855.5555522283951,6611.111085401234,3305.555542700617,0.4186580248134688,0.004687203214452836
0.00025714285714285715,0.26,True,1.7,0.85,3.567483000966412,0.00020897991073500388,0.00497638662030116,0.009573228730217497,0.06520259298426957,stable-convergent,1011.1111071790124,6611.111085401234,3305.555542700617,0.4198525357469336,0.004976386620302889
