entropy_before,entropy_after,entropy_change,infeasible_mass_before,infeasible_mass_after,infeasible_mass_change,idempotency_tv,expected_J_before,expected_J_after,expected_J_change,sample_id,contraction_ratio,dist_before,dist_after
7.682948948171767,7.1912534013065414,-0.491695546865226,0.49545705655550937,0.05782752306304113,-0.43762953349246825,0.12934887188331137,0.3788468689428084,0.21745631971772178,-0.1613905492250866,0,1.019628367711657,0.6347998683713192,0.6472599536120426
7.668634571856753,7.172730226623636,-0.4959043452331171,0.48308982587881244,0.05421964655701248,-0.42887017932179994,0.12538381141006913,0.37689271167324345,0.2169260216627631,-0.15996669001048036,1,0.9727808004812414,0.6561673994649555,0.6383070481021866
7.667181190389077,7.168597843164459,-0.49858334722461795,0.4684951015546478,0.051965203831540664,-0.4165298977231071,0.12106222579349443,0.3696573442812442,0.21542804654647324,-0.15422929773477095,2,0.9722531326098948,0.6640172939056674,0.6455928941079025
7.674425561561948,7.182229706537063,-0.4921958550248853,0.48471951837626664,0.054343533170031044,-0.4303759852062356,0.12498486018504376,0.37509590676453747,0.212947166275476,-0.16214874048906147,3,0.9898109516728166,0.6636739347031931,0.6569117289100002
7.663374049444286,7.1777739063418275,-0.4856001431024586,0.4783638486694934,0.05352669430741701,-0.42483715436207636,0.128158059535572,0.38039690122569325,0.2213285954125372,-0.15906830581315606,4,1.0159389507041,0.6406611452155201,0.6508726116281583
7.674680812717629,7.155694013878254,-0.518986798839375,0.46896555948982,0.050102500381830034,-0.41886305910798993,0.12477461311589402,0.37364576740302213,0.21032048260573588,-0.16332528479728625,5,0.974123295027099,0.6306564431656567,0.614337132447574
7.672437715284378,7.2023961853523755,-0.47004152993200243,0.49420695376994883,0.056990891551633574,-0.43721606221831527,0.13120481514545446,0.38381284764694823,0.22095352181798153,-0.1628593258289667,6,1.0135551866715515,0.6511973099273116,0.6600244110244021
7.666413000845542,7.188059532618579,-0.47835346822696234,0.494019013481383,0.05832892501789806,-0.43569008846348495,0.13029088947897519,0.3775102844696241,0.21958789707571308,-0.157922387393911,7,0.9770411360652513,0.6620372815860978,0.6468376577194087
7.677638861789594,7.207424009411495,-0.4702148523780991,0.4925713958076874,0.056734811713784306,-0.4358365840939031,0.12864742699946777,0.3788827811623571,0.21783429148917954,-0.16104848967317753,8,0.9931600833517776,0.6404340099870219,0.636053494741017
7.6681019717240435,7.163197152164737,-0.5049048195593064,0.4697071921753401,0.05209792367019479,-0.41760926850514535,0.12403166500917673,0.3690717026519331,0.21255210241142325,-0.15651960024050987,9,0.9882659096507463,0.6266192849269583,0.6192664776240289
7.67172273326859,7.166995768149045,-0.504726965119545,0.45857691375183507,0.04913168373119338,-0.4094452300206417,0.1217582323930647,0.3651440262096194,0.2104915613254209,-0.15465246488419848,10,0.9720920472361751,0.6430582490771481,0.6251118098384872
