diffusion,drift_scale,use_llm,lambda_shape,projection_strength,final_entropy,final_infeasible_mass,final_optimality_gap,mean_tail_tv,max_probability,regime
0.0001,0.06,True,1.7,0.85,4.145263942309951,4.400971051769135e-05,0.00775564204512867,0.011570816314411364,0.05116842266060138,oscillatory
0.0001,0.1,True,1.7,0.85,3.639207207585058,8.367086580684822e-05,0.005416121088166254,0.014334053274137656,0.06633437528528814,oscillatory
0.0001,0.14,True,1.7,0.85,3.519627897722713,0.00011233813022364073,0.004511999861303545,0.010051570736246499,0.06752046689291454,oscillatory
0.0001,0.18,True,1.7,0.85,3.520669051246476,0.00013869781743257027,0.004404545031054256,0.009211234600829407,0.06696867856096603,stable-convergent
0.0001,0.22,True,1.7,0.85,3.5381057608737727,0.0001648591255094952,0.004561602946213823,0.008994059426252135,0.0663872993225645,stable-convergent
0.0001,0.26,True,1.7,0.85,3.5525770662560534,0.00019131785790418428,0.004878127723852866,0.009423873444566584,0.06595236040151396,stable-convergent
0.0001,0.3,True,1.7,0.85,3.562520608917691,0.00021833932800181794,0.0053459900242921994,0.010061320189850377,0.06566176722110562,oscillatory
0.0001,0.34,True,1.7,0.85,3.568009356862294,0.0002462931045045368,0.005966327530938103,0.010752381728420638,0.06549178206736979,oscillatory
0.00025714285714285715,0.06,True,1.7,0.85,4.293489965138922,4.9653486247511785e-05,0.008804812774645506,0.009694309462615399,0.04422114285464651,stable-convergent
0.00025714285714285715,0.1,True,1.7,0.85,3.9711637031472575,8.920321854258325e-05,0.006426970293491818,0.01242268699733251,0.05829193066002216,oscillatory
0.00025714285714285715,0.14,True,1.7,0.85,3.6273581416316083,0.0001271410990705461,0.005054573000667526,0.012862122864605608,0.06533800868713978,oscillatory
0.00025714285714285715,0.18,True,1.7,0.85,3.5533124988522946,0.00015547652018809216,0.004604431586631331,0.010033315307010406,0.06587498031252,oscillatory
0.00025714285714285715,0.22,True,1.7,0.85,3.5573332529316097,0.00018210343400839357,0.004687203214451207,0.009412668272502716,0.06551069215938951,stable-convergent
0.00025714285714285715,0.26,True,1.7,0.85,3.567483000966412,0.00020897991073500388,0.00497638662030116,0.009573228730217497,0.06520259298426957,stable-convergent
0.00025714285714285715,0.3,True,1.7,0.85,3.573750024373346,0.0002365678721910677,0.005422032999306059,0.010093043010902223,0.06501574657468578,oscillatory
0.00025714285714285715,0.34,True,1.7,0.85,3.575785095563932,0.00026527238666407244,0.006022679144416826,0.010748006938753297,0.06495894165036635,oscillatory
0.00041428571428571426,0.06,True,1.7,0.85,4.4040056535845,5.3589429875541154e-05,0.009761623465281505,0.008866446092408272,0.03853344246534653,stable-convergent
0.00041428571428571426,0.1,True,1.7,0.85,4.180724056630605,8.960628677757923e-05,0.0074419267101866506,0.010115863757768882,0.04969506487745377,oscillatory
0.00041428571428571426,0.14,True,1.7,0.85,3.8448977563040287,0.00013669888472570569,0.005730664635186163,0.013148996430330299,0.06131903717029002,oscillatory
0.00041428571428571426,0.18,True,1.7,0.85,3.6035343496625165,0.0001725189493027483,0.0048413846742175895,0.0126419147034875,0.06488306349228108,oscillatory
0.00041428571428571426,0.22,True,1.7,0.85,3.5677319964188428,0.0002005498229565831,0.004740563068054899,0.010325008074530321,0.06499305082875173,oscillatory
