kappa_drift_bin,mean_final_entropy,mean_normalized_entropy,mean_infeasible_mass,mean_tail_tv,mean_optimality_gap,n
"(49.999, 181.25]",4.450203633662162,0.523738803990693,9.849866221933523e-05,0.008051671511113837,0.009762056833199263,16
"(181.25, 308.48]",3.9606242221831467,0.46612082590831017,0.00022596647923475965,0.01191828922279412,0.006277772145111597,16
"(308.48, 596.25]",3.6302026298016563,0.4272339290711486,0.00024430553459612616,0.012023332009044369,0.005395195239599274,16
"(596.25, 3400.0]",3.6000056849118174,0.4236800890443356,0.00018860414896957226,0.01031184894314292,0.00531253552779702,16
