step,component,component_label,entropy,infeasible_mass,expected_J,optimality_gap,regret,stability_tv,max_probability
0,base_only,Base dynamics only,7.216017295607653,0.2960187100519966,0.4816846304924374,0.4816846304924374,0.48198367623642363,0.0,0.001978296223300085
1,base_only,Base dynamics only,7.216843208614071,0.29375307383726706,0.4810855536447724,0.4810855536447724,0.4805986016477187,0.0032949714763332826,0.0019726676647596067
2,base_only,Base dynamics only,7.2176727058139605,0.2914939691603138,0.48048316124356905,0.48048316124356905,0.47921428859766907,0.0032947613914360912,0.0019671988079415404
3,base_only,Base dynamics only,7.218499760018193,0.28924161083205147,0.47987768932698865,0.47987768932698865,0.4778309785280473,0.0032947215815177216,0.0019624016771534985
4,base_only,Base dynamics only,7.219324451232739,0.2869960690324589,0.47926913174981983,0.47926913174981983,0.47644869095700226,0.00329464027644486,0.0019575343873531334
5,base_only,Base dynamics only,7.220146857585509,0.2847574140025738,0.4786574827144211,0.4786574827144211,0.4750674453313198,0.0032945608272617957,0.001952598344610417
6,base_only,Base dynamics only,7.220967055345212,0.28252571601190435,0.47804273676299913,0.47804273676299913,0.47368726100531683,0.0032943875859618235,0.001947594935213032
7,base_only,Base dynamics only,7.221785118910509,0.2803010453254373,0.4774248887701613,0.4774248887701613,0.47230815722041286,0.003294194253477327,0.0019425255258113613
8,base_only,Base dynamics only,7.222601120781772,0.27808347217033896,0.47680393393575926,0.47680393393575926,0.47093015308542474,0.0032938915484865927,0.00193739146358375
9,base_only,Base dynamics only,7.223415131528004,0.27587306670243394,0.47617986777803967,0.47617986777803967,0.4695532675576234,0.0032937682447127404,0.0019324506964652213
10,base_only,Base dynamics only,7.224227219760165,0.2736698989725523,0.4755526861271153,0.4755526861271153,0.4681775194245875,0.003293675251090543,0.0019279212751298106
11,base_only,Base dynamics only,7.2250374521191905,0.27147403889282906,0.47492238511876966,0.47492238511876966,0.4668029272868871,0.003293602067787029,0.0019233195667906257
12,base_only,Base dynamics only,7.225845893282307,0.269285556203037,0.4742889611886032,0.4742889611886032,0.4654295095416263,0.003293511766375143,0.0019186470414580571
13,base_only,Base dynamics only,7.226652605986251,0.26710452043703276,0.4736524110665328,0.4736524110665328,0.46405728436686944,0.0032933305503083333,0.0019139051495827388
14,base_only,Base dynamics only,7.227457651061468,0.2649310008893914,0.4730127317716486,0.4730127317716486,0.4626862697069726,0.003293134638578775,0.00190909532203596
15,base_only,Base dynamics only,7.22826108746825,0.2627650665823028,0.47236992060743865,0.47236992060743865,0.46131648325884156,0.0032930199534638663,0.0019042189701106824
16,base_only,Base dynamics only,7.229062972324422,0.2606067862327971,0.4717239751573792,0.4717239751573792,0.45994794245912707,0.003292842734049709,0.0018992774855422765
17,base_only,Base dynamics only,7.229863360914263,0.25845622822036707,0.4710748932808988,0.4710748932808988,0.45858066447237295,0.0032925680580521226,0.0018942722405480895
18,base_only,Base dynamics only,7.230662306669297,0.25631346055504695,0.4704226731097149,0.4704226731097149,0.457214666180123,0.0032923014703759605,0.0018892045878849317
19,base_only,Base dynamics only,7.231459861112545,0.25417855084600827,0.4697673130445417,0.4697673130445417,0.4558499641709931,0.003292143188988457,0.0018840758609235684
20,base_only,Base dynamics only,7.232256073758314,0.25205156627072445,0.4691088117521713,0.4691088117521713,0.45448657473170995,0.003291999181509158,0.001878887373739295
21,base_only,Base dynamics only,7.233050991958548,0.24993257354475737,0.46844716816291987,0.46844716816291987,0.45312451383911606,0.003291777939273645,0.0018736404212176666
22,base_only,Base dynamics only,7.233844660684017,0.2478216388922108,0.4677823814684403,0.4677823814684403,0.45176379715313586,0.0032916048696394586,0.0018683362791744552
23,base_only,Base dynamics only,7.234637122222446,0.24571882801689432,0.467114451119891,0.467114451119891,0.4504044400106969,0.0032913981871392417,0.0018629762044889047
24,base_only,Base dynamics only,7.235428415764381,0.24362420607423707,0.46644337682645765,0.46644337682645765,0.4490464574205963,0.0032912425334769542,0.001857561435249365
25,base_only,Base dynamics only,7.236218576826016,0.24153783764398562,0.46576915855421736,0.46576915855421736,0.4476898640592991,0.0032908886782378726,0.0018521067592318645
26,base_only,Base dynamics only,7.237007636411542,0.23945978670371856,0.4650917965253393,0.4650917965253393,0.4463346742676554,0.003290524669682623,0.0018474368835988343
27,base_only,Base dynamics only,7.237795620501215,0.23739011663332005,0.46441129122907265,0.46441129122907265,0.4449809020730798,0.003290216968606774,0.001842702332980442
28,base_only,Base dynamics only,7.238582546364875,0.2353288901194195,0.4637276433948184,0.4637276433948184,0.4436285611306329,0.003290028570929475,0.001837904411285513
29,base_only,Base dynamics only,7.239368419835674,0.23327616918704264,0.46304085400788464,0.46304085400788464,0.4422776647640285,0.003289868430723553,0.001833044405994654
30,base_only,Base dynamics only,7.240153250095581,0.23123201618760827,0.4623509246577849,0.4623509246577849,0.4409282267325459,0.0032895822962028367,0.0018281235855062757
31,base_only,Base dynamics only,7.2409370960435675,0.22919649709109352,0.46165785861218717,0.46165785861218717,0.43958026353759216,0.0032893060629631448,0.0018231431905633155
32,base_only,Base dynamics only,7.241720184325407,0.2271696901410363,0.46096166366350455,0.46096166366350455,0.43823380037474635,0.0032890020493947397,0.0018181044125784407
33,base_only,Base dynamics only,7.242503048038008,0.22515169737168098,0.4602623560066213,0.4602623560066213,0.43688887915648633,0.0032887246820907006,0.0018130083659891796
34,base_only,Base dynamics only,7.243286593218508,0.2231426497791899,0.4595599624709393,0.4595599624709393,0.43554556298566893,0.0032883413126095404,0.00180785607879488
35,base_only,Base dynamics only,7.244071879239369,0.22114269086504645,0.45885451553578865,0.45885451553578865,0.4342039262447735,0.003287846811631665,0.0018026485351821814
36,base_only,Base dynamics only,7.244859665990248,0.2191519390535473,0.45814604097806244,0.45814604097806244,0.4328640290693939,0.0032873769425180825,0.0017973867690699219
37,base_only,Base dynamics only,7.245650563921329,0.21717048633323893,0.45743455739484296,0.45743455739484296,0.43152591640183036,0.0032868823398933514,0.0017920718655163098
38,base_only,Base dynamics only,7.246444334640532,0.21519835496325113,0.4567200593337546,0.4567200593337546,0.4301895826051159,0.003286466952512346,0.0017867050606806892
39,base_only,Base dynamics only,7.2472404289342185,0.21323553453291055,0.4560025294433987,0.4560025294433987,0.42885499576353797,0.00328611577747516,0.001781507909886
40,base_only,Base dynamics only,7.248037991004326,0.21128199151277402,0.4552819408129375,0.4552819408129375,0.4275221021466107,0.003285766674452169,0.0017766214768440147
41,base_only,Base dynamics only,7.248836104416712,0.20933769283314346,0.45455826547569417,0.45455826547569417,0.42619084382747197,0.0032854169542937263,0.0017716785939574532
42,base_only,Base dynamics only,7.249634030157602,0.20740262472972146,0.4538314823505109,0.4538314823505109,0.4248611755959005,0.0032851237841184807,0.001766680642710689
43,base_only,Base dynamics only,7.250431147173446,0.20547678954187915,0.45310157615085467,0.45310157615085467,0.4235330632037066,0.0032847863454014232,0.0017616289445637283
