diffusion,drift_scale,use_llm,lambda_shape,projection_strength,final_entropy,final_infeasible_mass,final_optimality_gap,mean_tail_tv,max_probability,regime
0.00042,0.18,True,0.0,0.0,7.279207152878655,0.1411074460666332,0.4239765433508446,0.0032760782235950973,0.001592354140656222,diffusion-dominated
0.00042,0.18,True,0.0,0.095,6.856601666701177,8.898069929492574e-05,0.3992450347697364,0.004258400911149641,0.0021569176266273246,stable-convergent
0.00042,0.18,True,0.0,0.19,6.845994523919308,1.2853289651367003e-05,0.39830890388671425,0.004283291075169747,0.0021814371673439595,stable-convergent
0.00042,0.18,True,0.0,0.28500000000000003,6.8425218589598895,7.824037070664445e-06,0.3979691616862534,0.004297551493379893,0.0021902675677312067,stable-convergent
0.00042,0.18,True,0.0,0.38,6.8407361258115404,5.175640430527205e-06,0.397790216991547,0.00430500619367798,0.0021948940675653905,stable-convergent
0.00042,0.18,True,0.0,0.475,6.839632176127752,3.541693080835021e-06,0.3976791151368054,0.004309582120121102,0.0021977601513426164,stable-convergent
0.00042,0.18,True,0.0,0.5700000000000001,6.838878711945832,2.4335731419320375e-06,0.39760297600174493,0.004312672782253181,0.002199719331074318,stable-convergent
0.00042,0.18,True,0.0,0.665,6.838338104632275,1.6328198438151518e-06,0.39754754529272684,0.004314882023670547,0.0022011429460536396,stable-convergent
0.00042,0.18,True,0.0,0.76,6.83792751181166,1.0272023041097172e-06,0.3975051817159069,0.00431655411903101,0.0022022290384740026,stable-convergent
0.00042,0.18,True,0.0,0.855,6.837602945542784,5.531669336895092e-07,0.3974716613012327,0.0043178712594226995,0.002203088567066422,stable-convergent
0.00042,0.18,True,0.0,0.95,6.837340262635239,1.7204923989091794e-07,0.3974445429753576,0.004318934802511073,0.002203783544634916,stable-convergent
0.00042,0.18,True,0.25,0.0,7.012319551975362,0.0032897705220356842,0.16544203178575898,0.013545348018993226,0.00263239227232274,oscillatory
0.00042,0.18,True,0.25,0.095,6.9521930462697155,0.00018631727215062934,0.1628469551907082,0.013315386761333384,0.0026785993838452505,oscillatory
0.00042,0.18,True,0.25,0.19,6.948193754859508,0.0001460451419039238,0.16265635948385965,0.013300936918730431,0.002682134742383796,oscillatory
0.00042,0.18,True,0.25,0.28500000000000003,6.946629549592997,0.0001154231780571876,0.16257659210505157,0.013295813180529477,0.002683506997368082,oscillatory
0.00042,0.18,True,0.25,0.38,6.94574897117792,9.069760002797383e-05,0.16252931280488395,0.013293087972544184,0.0026842586931804685,oscillatory
0.00042,0.18,True,0.25,0.475,6.945168074598,7.025690277471898e-05,0.16249681015909023,0.013291359210703587,0.0026847402723868107,oscillatory
0.00042,0.18,True,0.25,0.5700000000000001,6.944747171780395,5.3047067153674476e-05,0.16247256063666188,0.013290160945052643,0.0026850781273604326,oscillatory
0.00042,0.18,True,0.25,0.665,6.944422945374036,3.834070845060299e-05,0.16245356247359474,0.013289273726386525,0.0026853298317705103,oscillatory
0.00042,0.18,True,0.25,0.76,6.944161882959201,2.5621865414942715e-05,0.16243810767467068,0.01328858510823446,0.002685525336033862,oscillatory
0.00042,0.18,True,0.25,0.855,6.943942559119946,1.450637376393178e-05,0.1624252228667558,0.013288032809340527,0.0026856832298061983,oscillatory
0.00042,0.18,True,0.25,0.95,6.943752122826817,4.706572975972719e-06,0.16241430179516717,0.013287580582510245,0.002685812906946202,oscillatory
0.00042,0.18,True,0.5,0.0,6.548530685783527,0.0009302650467342933,0.08327681976751193,0.01500286356863817,0.003471907485549749,oscillatory
0.00042,0.18,True,0.5,0.095,6.537957525014851,0.0007137976438794688,0.08303416872665467,0.014976173239823101,0.0034798237176044996,oscillatory
0.00042,0.18,True,0.5,0.19,6.536514870647965,0.0006083696362618022,0.08294704024152623,0.014973858288593853,0.003480941969475974,oscillatory
0.00042,0.18,True,0.5,0.28500000000000003,6.535698341637979,0.0005126852447554493,0.0828756460928135,0.01497272294609776,0.0034815174393659437,oscillatory
0.00042,0.18,True,0.5,0.38,6.535080223646414,0.0004253250751033052,0.08281269968385191,0.014971929812784439,0.003481922081684365,oscillatory
0.00042,0.18,True,0.5,0.475,6.534559197134321,0.0003452505991345513,0.08275577723246443,0.014971298662039206,0.003482236640519708,oscillatory
0.00042,0.18,True,0.5,0.5700000000000001,6.534095258740076,0.00027156329087507164,0.08270374482705724,0.014970767568476465,0.003482495875557807,oscillatory
0.00042,0.18,True,0.5,0.665,6.533666622448821,0.0002034950843907922,0.08265606270583527,0.014970308658671794,0.003482726478563674,oscillatory
0.00042,0.18,True,0.5,0.76,6.533261681592115,0.00014044010541869485,0.08261192984086738,0.014969898483572068,0.0034829259833705755,oscillatory
0.00042,0.18,True,0.5,0.855,6.532867749766081,8.185034649147231e-05,0.082570974318464,0.014969528021237112,0.003483104009139708,oscillatory
0.00042,0.18,True,0.5,0.95,6.532465133490367,2.725938715335108e-05,0.08253305376970767,0.014969198752166974,0.0034832734673314433,oscillatory
0.00042,0.18,True,0.75,0.0,6.105112334533345,0.0014082334162760037,0.04823715735761135,0.01565806224117007,0.006793160206345344,oscillatory
0.00042,0.18,True,0.75,0.095,6.10158333516705,0.0012393256119192075,0.04808942583837077,0.015648869766990266,0.006801662425189916,oscillatory
0.00042,0.18,True,0.75,0.19,6.100530551085795,0.0010824276093389371,0.04797360337385906,0.015647579033516712,0.006807144653648697,oscillatory
0.00042,0.18,True,0.75,0.28500000000000003,6.099704760948589,0.0009329687562395617,0.04786527242405051,0.01564683955561614,0.006812162861954228,oscillatory
0.00042,0.18,True,0.75,0.38,6.098957725930333,0.0007903702280482588,0.047762803448551966,0.015646270586361623,0.006816515890232882,oscillatory
0.00042,0.18,True,0.75,0.475,6.098246797544837,0.000654219259708539,0.04766509305855899,0.015645782847245483,0.006820773373979984,oscillatory
0.00042,0.18,True,0.75,0.5700000000000001,6.097554615305529,0.0005240724179587651,0.04757171011862024,0.015645346009278388,0.006824938826680282,oscillatory
0.00042,0.18,True,0.75,0.665,6.096870405881529,0.0003995284194932696,0.04748232957936247,0.01564494525149854,0.00682900686741615,oscillatory
0.00042,0.18,True,0.75,0.76,6.096185798333493,0.00028021588091927557,0.04739683265107112,0.01564457651348758,0.006832778912624936,oscillatory
0.00042,0.18,True,0.75,0.855,6.09548855344934,0.00016580607800209838,0.04731519205184446,0.015644247029353936,0.0068359864208734356,oscillatory
0.00042,0.18,True,0.75,0.95,6.094740415150032,5.6022377385591635e-05,0.04723660037941604,0.01564392662153501,0.0068393874519339405,oscillatory
0.00042,0.18,True,1.0,0.0,5.615339964127101,0.0015696761449258514,0.029829157297955957,0.015140729633018766,0.015004427914339662,oscillatory
0.00042,0.18,True,1.0,0.095,5.613690631958754,0.0014014317627459472,0.029699826665482265,0.01513672637365324,0.015013145340264461,oscillatory
0.00042,0.18,True,1.0,0.19,5.612768145580454,0.0012377019185822787,0.029579678897711837,0.01513607917130677,0.015020218247126611,oscillatory
0.00042,0.18,True,1.0,0.28500000000000003,5.611920721277763,0.0010782686317220521,0.029463211982243907,0.015135739284712048,0.015027015574660308,oscillatory
0.00042,0.18,True,1.0,0.38,5.611095441518059,0.0009229581719307109,0.02934988373338133,0.015135501158165986,0.015033653533144446,oscillatory
0.00042,0.18,True,1.0,0.475,5.610276594482621,0.0007716066781123598,0.029239475098039487,0.01513531417795949,0.015040159526743941,oscillatory
0.00042,0.18,True,1.0,0.5700000000000001,5.609457201144392,0.0006240549879192584,0.029131912899368784,0.015135137210013019,0.015046417353979616,oscillatory
0.00042,0.18,True,1.0,0.665,5.608640671177134,0.00048013736798663075,0.029027521772718803,0.015134907716319767,0.015051658565003989,oscillatory
0.00042,0.18,True,1.0,0.76,5.6078017489200365,0.0003397619121184616,0.028925548956835623,0.015134717129824697,0.015057032095811905,oscillatory
0.00042,0.18,True,1.0,0.855,5.606924644873168,0.0002027909141415322,0.02882589427552236,0.015134561842110171,0.015062535280618764,oscillatory
0.00042,0.18,True,1.0,0.95,5.605970324394964,6.909390936873686e-05,0.02872846638088648,0.015134438380336169,0.015068164426539108,oscillatory
0.00042,0.18,True,1.25,0.0,5.14647058515675,0.00141134991216395,0.01956734072442097,0.014413634710199394,0.025217593120031516,oscillatory
0.00042,0.18,True,1.25,0.095,5.145433158773973,0.0012675961448369282,0.019459851370198906,0.014412231449626028,0.025226129290856537,oscillatory
0.00042,0.18,True,1.25,0.19,5.144610002054321,0.001126002776506568,0.019355437877407344,0.014412169304680865,0.025233896258812654,oscillatory
0.00042,0.18,True,1.25,0.28500000000000003,5.143811445052116,0.0009865187516572447,0.019252886088212844,0.014412062779583285,0.025241220133820116,oscillatory
0.00042,0.18,True,1.25,0.38,5.143023474892764,0.0008490871195898174,0.019152230749733566,0.014411637826991489,0.025247822998502024,oscillatory
0.00042,0.18,True,1.25,0.475,5.142227986940795,0.0007136881436995933,0.019053010054765243,0.014411323582316731,0.02525444560208967,oscillatory
0.00042,0.18,True,1.25,0.5700000000000001,5.141419748143125,0.0005802739750387638,0.018955178011583446,0.01441110865055244,0.025261093885211576,oscillatory
0.00042,0.18,True,1.25,0.665,5.140593050697957,0.00044879834935115953,0.0188586968582872,0.01441098681362607,0.025267770143891435,oscillatory
0.00042,0.18,True,1.25,0.76,5.139739756677253,0.00031921652164044263,0.01876353297435116,0.01441095415878484,0.02527447507564042,oscillatory
0.00042,0.18,True,1.25,0.855,5.138845172222834,0.00019148519744140112,0.018669654219563268,0.014411007341710134,0.025281209159339218,oscillatory
0.00042,0.18,True,1.25,0.95,5.137871999399931,6.55624631750177e-05,0.018577030703767743,0.014411143926559511,0.025287972203205843,oscillatory
0.00042,0.18,True,1.5,0.0,4.71129568644385,0.0011258569063656086,0.013375223602573394,0.014719831558850975,0.036694923617102915,oscillatory
0.00042,0.18,True,1.5,0.095,4.710528742226717,0.001014436633587219,0.013292656599039481,0.01471901139854536,0.036702220763220876,oscillatory
0.00042,0.18,True,1.5,0.19,4.709822189152791,0.0009039892074794157,0.013211166345014121,0.014718773737697206,0.03670923598691459,oscillatory
0.00042,0.18,True,1.5,0.28500000000000003,4.709118144842629,0.0007945027395304324,0.013130406233649954,0.014718708175461474,0.036716192192677764,oscillatory
0.00042,0.18,True,1.5,0.38,4.708408977598301,0.0006859640324462425,0.01305033077594305,0.01471877587090253,0.03672311584474712,oscillatory
0.00042,0.18,True,1.5,0.475,4.707690966298329,0.0005783600901679244,0.012970920887395156,0.014718965338531455,0.03673001455232759,oscillatory
0.00042,0.18,True,1.5,0.5700000000000001,4.70696063473553,0.0004716781687336588,0.012892163611480115,0.014719270998185898,0.03673689156556346,oscillatory
0.00042,0.18,True,1.5,0.665,4.7062136128589245,0.000365905782014529,0.012814048391399203,0.014719689672470363,0.036743748474025235,oscillatory
0.00042,0.18,True,1.5,0.76,4.705443297757073,0.0002610306969842807,0.012736565843446977,0.014720219146967944,0.03675058610454911,oscillatory
0.00042,0.18,True,1.5,0.855,4.704637602626192,0.00015704092609209478,0.012659706884551253,0.014720857389080239,0.036757405178503455,oscillatory
0.00042,0.18,True,1.5,0.95,4.703763687409951,5.392406586871759e-05,0.012583857972968423,0.014720085247853544,0.036763554964790016,oscillatory
0.00042,0.18,True,1.75,0.0,4.285988267945826,0.0008358531304269385,0.009336871606227268,0.01626824655762573,0.048485380221126737,oscillatory
0.00042,0.18,True,1.75,0.095,4.285373510492782,0.0007545140458654972,0.009276516509880511,0.016268503990136664,0.048491801718942865,oscillatory
0.00042,0.18,True,1.75,0.19,4.284775091404972,0.0006735897055361044,0.009216561302118322,0.016268990766621458,0.04849809683405235,oscillatory
0.00042,0.18,True,1.75,0.28500000000000003,4.284175234482279,0.00059307712132279,0.009156915727333452,0.016269557864138383,0.04850434373309736,oscillatory
0.00042,0.18,True,1.75,0.38,4.28357072130132,0.0005129730433204052,0.009097566791722137,0.01627018883538481,0.048510552940380786,oscillatory
0.00042,0.18,True,1.75,0.475,4.28295931058828,0.00043327424886171914,0.009038508868436301,0.01627087909713893,0.04851672794945405,oscillatory
0.00042,0.18,True,1.75,0.5700000000000001,4.282338633887806,0.00035397755023811224,0.00897973850099194,0.016271626383234074,0.048522870189761404,oscillatory
0.00042,0.18,True,1.75,0.665,4.281705488708627,0.00027507979987062916,0.008921252943543533,0.016272429432184477,0.048528980415453574,oscillatory
0.00042,0.18,True,1.75,0.76,4.281054883823807,0.00019657789347681545,0.008863049731383963,0.01627328747022046,0.04853505911205831,oscillatory
0.00042,0.18,True,1.75,0.855,4.280377656289664,0.00011846876690439445,0.00880512649532845,0.016274199771089317,0.04854110669868313,oscillatory
0.00042,0.18,True,1.75,0.95,4.279457700861625,4.074991149972149e-05,0.00874869205505288,0.016268472445503897,0.048546622038512476,oscillatory
0.00042,0.18,True,2.0,0.0,3.8382550507314526,0.0005857199471843093,0.006559354962381241,0.017675579031574205,0.06026430201758321,oscillatory
0.00042,0.18,True,2.0,0.095,3.8378008922078894,0.0005292711738155627,0.006517424481510937,0.017675397366604593,0.06026849408155205,oscillatory
0.00042,0.18,True,2.0,0.19,3.8373496579576423,0.00047299388300311177,0.006475644970238605,0.017675334722888816,0.06027265788774479,oscillatory
0.00042,0.18,True,2.0,0.28500000000000003,3.8368956743413443,0.00041688725947608386,0.006433992641590879,0.017675330022952136,0.06027681932908177,oscillatory
0.00042,0.18,True,2.0,0.38,3.8364373733976254,0.0003609504373571047,0.006392463602450288,0.017675375761627414,0.06028098234664867,oscillatory
0.00042,0.18,True,2.0,0.475,3.835973451271831,0.000305182556051387,0.006351056339705839,0.01767546963910827,0.06028514806049861,oscillatory
0.00042,0.18,True,2.0,0.5700000000000001,3.8355023109416826,0.0002495827624227223,0.0063097698796041905,0.017675610564895354,0.0602893169406006,oscillatory
0.00042,0.18,True,2.0,0.665,3.8350217104724265,0.00019415021145098802,0.00626860345833283,0.01767579794869397,0.0602934892039774,oscillatory
0.00042,0.18,True,2.0,0.76,3.8345281255176427,0.00013888406624151906,0.006227556409827769,0.017676031458633654,0.06029766494977204,oscillatory
0.00042,0.18,True,2.0,0.855,3.833863815292456,8.378226798172414e-05,0.006186985180386742,0.01767210813895355,0.06030034479817606,oscillatory
0.00042,0.18,True,2.0,0.95,3.832804613254693,2.884517638004011e-05,0.006147569338113835,0.01765612802317179,0.060298292116299244,oscillatory
0.00042,0.18,True,2.25,0.0,3.5616138132989947,0.00037489346015231263,0.004740100694881369,0.0162305357901504,0.06775801396811978,oscillatory
0.00042,0.18,True,2.25,0.095,3.5613345419294244,0.0003389716139374555,0.0047134198502736604,0.01623016423377103,0.06776053226033606,oscillatory
0.00042,0.18,True,2.25,0.19,3.561053657347792,0.0003031148370085002,0.004686792262731814,0.016229853151482218,0.06776305330950155,oscillatory
0.00042,0.18,True,2.25,0.28500000000000003,3.5607692976376235,0.00026732291238301496,0.004660211882443391,0.01622957905509314,0.06776558460495093,oscillatory
0.00042,0.18,True,2.25,0.38,3.560480715484433,0.00023159561743237942,0.004633677724265786,0.016229338767177255,0.06776812727190185,oscillatory
0.00042,0.18,True,2.25,0.475,3.560187133908849,0.0001959327308159972,0.004607189388677142,0.01622913113592912,0.06777068164009291,oscillatory
0.00042,0.18,True,2.25,0.5700000000000001,3.559887544622753,0.0001603340328904348,0.004580746617313917,0.016228955666430622,0.06777324784208598,oscillatory
0.00042,0.18,True,2.25,0.665,3.5595805076976412,0.00012479930576395401,0.004554349210023407,0.016228812109060305,0.06777582592931847,oscillatory
0.00042,0.18,True,2.25,0.76,3.55929589657907,8.93219316259811e-05,0.004528604201495516,0.016219540693772454,0.06777328131114208,oscillatory
0.00042,0.18,True,2.25,0.855,3.559022095763774,5.390936140056437e-05,0.0045034831602382315,0.016200920040607407,0.06776580756644598,oscillatory
